,time,ll,n_component,DB,method
5,0.13193511962890625,-12.917129308349562,14.0,MALT_8k,nGMM_fixk
6,0.19788742065429688,-12.802236991102422,14.0,MALT_8k,nGMM_fixk
7,0.3148186206817627,-12.607639773411858,16.0,MALT_8k,nGMM_fixk
8,0.25785279273986816,-12.61815087537536,16.0,MALT_8k,nGMM_fixk
9,0.22188377380371094,-12.836320077438216,14.0,MALT_8k,nGMM_fixk
0,49.70354175567627,-10.339389581778589,50.0,MALT_8k,dpgmm
1,59.39699029922485,-10.312004086512436,50.0,MALT_8k,dpgmm
2,48.110453844070435,-10.287859167423095,50.0,MALT_8k,dpgmm
3,39.88716220855713,-10.342858734870253,50.0,MALT_8k,dpgmm
4,82.59071135520935,-10.313174194319487,50.0,MALT_8k,dpgmm
5,48.4212646484375,-10.339740513621718,50.0,MALT_8k,dpgmm
6,53.693257331848145,-10.305461754565231,50.0,MALT_8k,dpgmm
7,67.16954040527344,-10.326394833530733,50.0,MALT_8k,dpgmm
8,77.51761603355408,-10.320139729879017,50.0,MALT_8k,dpgmm
9,49.45867133140564,-10.298376990321723,50.0,MALT_8k,dpgmm
0,82.48777031898499,-4.970225496294415,14.0,CBMC_8k,CITE-sort
1,84.576584815979,-4.925015700588989,15.0,CBMC_8k,CITE-sort
2,85.64297437667847,-4.970225496294415,14.0,CBMC_8k,CITE-sort
3,85.82585883140564,-4.970225496294415,14.0,CBMC_8k,CITE-sort
4,88.71920251846313,-4.822622999413,15.0,CBMC_8k,CITE-sort
